,date,ibov,cdi_acumulado,ibov_acu,cdi_acu
283,2018-08-31,-0.03209916532,0.00566939304,-0.03209916532000001,0.005669393040000026
284,2018-09-30,0.03475464064,0.00468110713,0.0015398803644595116,0.01037703920618216
285,2018-10-31,0.1018511784999999,0.00543048026,0.10354789749432847,0.015863871772748617
286,2018-11-30,0.02379770668,0.0049355836,0.1298098066662292,0.02087775283810278
287,2018-12-31,-0.01806354418,0.0049355812599999,0.10940143730851659,0.025916377943761226
288,2019-01-31,0.1081667459,0.00543047835,0.22940178067896166,0.03148759462309525
289,2019-02-28,-0.0185781941899999,0.0049355842,0.20656171565997616,0.036578588497613085
290,2019-03-31,-0.0017763368199999,0.00468822711,0.2044184556588471,0.041438304337853005
291,2019-04-30,0.00983885478,0.00518300473,0.21626855393842614,0.04683608399523931
292,2019-05-31,0.0070261193899999,0.00543048083,0.22481420200870006,0.05252090728152781
293,2019-06-30,0.04057370933,0.00468823029,0.27450945742425703,0.057455367679903224
294,2019-07-31,0.00836836121,0.00567801927,0.2851750129295445,0.06345961963475455
295,2019-08-31,-0.00665460982,0.0050171144499999,0.2766226746680849,0.06879511825941553
296,2019-09-30,0.0357020213,0.0046375672499999,0.32220068459114803,0.07375172749681513
297,2019-10-31,0.02362406263,0.00479268318,0.35343643637335814,0.07889787934068515
298,2019-11-30,0.00945207617,0.0038038306,0.3662292206612128,0.08300182410839628
299,2019-12-31,0.0684822635,0.0037469707299999,0.45979169015193366,0.08705980024386693
300,2020-01-31,-0.0162978465,0.00376623624,0.43600022926386184,0.09115392425859259
301,2020-02-29,-0.08429106851,0.00293727304,0.314958235558606,0.09435894126280742
302,2020-03-31,-0.2990432994,0.00338369929,-0.07827121377604207,0.09806192283536364
303,2020-04-30,0.1025219749,0.00284926149,0.016226241709818012,0.1011905883857338
304,2020-05-31,0.08566702387,0.00235807401,0.10328331941569324,0.10378727729226277
305,2020-06-30,0.08756296581,0.00212327887,0.19989007899243294,0.10613092549511238
306,2020-07-31,0.0826505941499999,0.0019433898499999,0.2990617069358479,0.1082805691084905
307,2020-08-31,-0.03442826626,0.0015989281199999,0.25433726460129047,0.11005263007528754
308,2020-09-30,-0.04796025728,0.0015697106799999,0.19417892667512127,0.11179509154407864
309,2020-10-31,-0.00688114949,0.00156970989,0.18596160296286215,0.11354028729492892
310,2020-11-30,0.1590264858,0.00149490808,0.3745609089757811,0.11520492766781153
311,2020-12-31,0.0929709921599999,0.00164452252,0.5023552004676108,0.11703890728577605
312,2021-01-31,-0.0331858645,0.00149490529,0.4524982443540222,0.11870877465741338
313,2021-02-28,-0.0437341370399999,0.00134531502,0.388974487085084,0.12021379037496584
314,2021-03-31,0.05996764489,0.00201087958,0.47226801588787204,0.12246640541126519
315,2021-04-30,0.01937792947,0.00207794522,0.5007975216606841,0.12479882911299998
316,2021-05-31,0.06158342602,0.00270321375,0.593221774806874,0.12783940077384215
317,2021-06-30,0.00464228983,0.00307774986,0.6006179720489946,0.1313106083316764
318,2021-07-31,-0.03943852155,0.00355616543,0.537491965665023,0.1353337360076179
319,2021-08-31,-0.02479261424,0.00427945568,0.49937352046319083,0.14019234641287137
320,2021-09-30,-0.06568329977,0.00441991638,0.4008897200514068,0.14523190124113228
321,2021-10-31,-0.0673855708,0.00485988473,0.30648996663789063,0.150797596270283
322,2021-11-30,-0.01531641667,0.00586754157,0.28647922193369046,0.15754994900505492
323,2021-12-31,0.02852354574,0.00769089,0.32317417086407557,0.16645253833235826
324,2022-01-31,0.06984258332,0.00732275545,0.41558807313952184,0.1749941850145977
325,2022-02-28,0.00890314562,0.00755033429,0.4281912598926181,0.18386578390026423
326,2022-03-31,0.0606078524,0.00927051464,0.5147508649711598,0.19484082898170674
327,2022-04-30,-0.1010262316,0.00834324864,0.36172129327028313,0.20480968310312478
328,2022-05-31,0.03220683792,0.0103459733499999,0.40557803025485195,0.21727461197633158
329,2022-06-30,-0.1150291992,0.01015322834,0.24389551502152293,0.2296338790642123
330,2022-07-31,0.04691139154,0.01034852639,0.30224838456154735,0.24235877771174644
