,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret
ticker,ABEV3<XBSP>,AESB3<XBSP>,ASAI3<XBSP>,B3SA3<XBSP>,BBAS3<XBSP>,BBDC4<XBSP>,BBSE3<XBSP>,BEEF3<XBSP>,BIDI11<XBSP>,BPAC11<XBSP>,BRFS3<XBSP>,BRKM5<XBSP>,BRML3<XBSP>,BRPR3<XBSP>,CCRO3<XBSP>,CIEL3<XBSP>,CMIG4<XBSP>,COCE5<XBSP>,COGN3<XBSP>,CPFE3<XBSP>,CPLE6<XBSP>,CRFB3<XBSP>,CSAN3<XBSP>,CSNA3<XBSP>,CVCB3<XBSP>,CYRE3<XBSP>,DASA3<XBSP>,ECOR3<XBSP>,EGIE3<XBSP>,EMBR3<XBSP>,ENBR3<XBSP>,ENEV3<XBSP>,EQTL3<XBSP>,EVEN3<XBSP>,GGBR4<XBSP>,HAPV3<XBSP>,HYPE3<XBSP>,IRBR3<XBSP>,ITSA4<XBSP>,ITUB4<XBSP>,IVVB11<XBSP>,JBSS3<XBSP>,KLBN11<XBSP>,KLBN4<XBSP>,LAME4<XBSP>,LREN3<XBSP>,LWSA3<XBSP>,MDIA3<XBSP>,MGLU3<XBSP>,MRFG3<XBSP>,MRVE3<XBSP>,MULT3<XBSP>,MYPK3<XBSP>,NTCO3<XBSP>,OIBR4<XBSP>,PCAR3<XBSP>,PCAR4<XBSP>,PDGR3<XBSP>,PETR3<XBSP>,PETR4<XBSP>,PETZ3<XBSP>,POMO4<XBSP>,PRIO3<XBSP>,QUAL3<XBSP>,RADL3<XBSP>,RAIL3<XBSP>,RAPT4<XBSP>,RDOR3<XBSP>,RENT3<XBSP>,SBSP3<XBSP>,SEER3<XBSP>,SIMH3<XBSP>,SMLS3<XBSP>,SMTO3<XBSP>,SUZB3<XBSP>,TAEE11<XBSP>,TEND3<XBSP>,TIMS3<XBSP>,TOTS3<XBSP>,TRPL4<XBSP>,TUPY3<XBSP>,UGPA3<XBSP>,USIM5<XBSP>,VALE3<XBSP>,VBBR3<XBSP>,VIIA3<XBSP>,VIVT3<XBSP>,VIVT4<XBSP>,VLID3<XBSP>,WEGE3<XBSP>,YDUQ3<XBSP>
data_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-30,-0.048657718,0.105182927,,0.070194986,0.021871639,0.015173103,0.068410463,0.542138365,-0.126922742,0.272563177,0.284956925,0.227642276,0.006012024,-0.036419821,0.077848351,-0.085585586,0.068462402,0.067268552,0.385,0.080759211,0.01682243,-0.030538051,0.122395833,0.283667622,0.243243243,0.125973107,-0.066666667,0.11005291,0.005138746,-0.093291405,0.056836833,0.035395683,0.041477273,0.103109656,0.168159204,0.237174218,0.01713886,0.055785124,0.02622577,-0.013217768,0.178951736,0.199176271,0.113821138,0.096273292,0.382222222,0.144480147,0.264444444,0.099656357,0.274685817,0.450847458,0.237745098,0.094863732,0.153357532,0.37995338,0.075268817,-0.001808863,,0.074498567,0.318953324,0.290207291,,0.157894737,0.224550898,0.098305085,0.029390515,0.007124682,0.559633028,,0.3,0.059455006,0.123595506,0.451737452,0.156275304,0.292286874,0.101145571,0.064653504,0.127061106,0.025723473,0.269966137,0.036098456,0.12804878,0.157222666,-0.015306315,0.037945396,0.259187621,0.738636364,-0.081491785,-0.075131445,-0.036717063,0.189752755,0.394772831
2020-05-31,0.100529101,-0.049607485,,0.185580427,0.082105263,-0.009416753,-0.047834275,0.092169657,0.220930233,0.154609929,0.192882929,0.312204352,-0.022908367,-0.012585812,0.190283401,0.007389163,0.134453782,0.043354943,-0.050541516,0.11053719,0.163602941,-0.075185912,0.091315877,0.15304864,0.043478261,0.065367693,-0.071428571,0.253574833,0.084100204,-0.173410405,0.039411765,0.061423013,0.093835243,0.070079011,0.1439523,0.046147979,0.107977992,-0.187866928,-0.015555556,0.01252472,0.030205279,-0.078439597,0.10668164,0.107648725,0.135450161,0.004167752,0.151142355,0.1290625,0.294768612,0.014797508,0.001320132,-0.009573959,0.086546027,0.046815832,0.1,-0.040494483,,-0.085333333,0.117426273,0.126869806,,-0.076923077,0.514914425,-0.084727779,0.044474136,0.138453765,0.035294118,,0.125475285,0.355289421,-0.141149763,0.085139371,-0.154061625,0.017277487,-0.039330119,0.071641361,0.079604131,0.067398119,0.019949281,0.070509521,0.025,0.180689655,0.28125,0.181453411,0.108038914,0.350762527,0.035330207,0.062172464,0.221973094,0.047320981,-0.061614498
2020-06-30,0.133012821,0.156226971,,0.209440176,0.042477302,0.093396112,0.078718354,-0.017923824,0.226190476,0.566339066,-0.080847384,-0.162941601,0.027522936,0.033603708,-0.013605442,0.129584352,0.02037037,0.106601942,0.256653992,-0.049302326,-0.039178515,0.068144943,0.099928156,0.034883721,0.259722222,0.348082596,0.023076923,-0.013688213,-0.00754539,0.131468531,-0.014148274,0.177795234,0.158104738,0.566572238,0.192107223,0.133248268,0.04258588,0.325301205,0.084841629,0.105320304,0.034557358,-0.037323623,0.031456114,0.04859335,0.139115044,0.086137406,0.648854962,0.123996679,0.113442113,-0.032233308,0.186552406,-0.00918318,-0.020999276,0.073157612,0.363636364,0.127024452,,0.457725948,0.071976967,0.059488692,,0.109848485,0.142349903,0.222596965,0.012147814,-0.001775411,0.092045455,,0.065349204,0.062223859,0.03021978,0.139626352,0.217715232,0.091610911,-0.028262018,-0.015416959,0.235950578,0.042584435,0.151168573,0.005288462,0.259063942,0.073598131,0.182113821,0.05509434,-0.004158965,0.234677419,0.033746262,0.018879932,-0.010091743,0.210823127,0.181530899
2020-07-31,-0.016973126,-0.033779477,,0.154646935,0.044479005,0.085030951,0.020535387,0.03269962,0.474664271,0.137187925,-0.026340546,-0.018087855,-0.017857143,0.039237668,0.031724138,0.162337662,0.08892922,0.166871381,0.252647504,0.083235286,0.091417297,0.136202532,0.274675691,0.147003745,0.218634704,0.211810478,,0.119506554,0.096935139,-0.059332509,0.065442021,0.119831036,0.113848223,0.336347197,0.089943785,0.047772237,0.084684685,-0.215957125,0.11261731,0.057204639,0.010785824,0.018439716,0.016232169,0.0,0.059664388,-0.016028708,0.108796296,-0.037675449,0.127722992,0.142743854,0.063333333,0.031219512,-0.049556213,0.178947368,0.986666667,0.00028177,,-0.088,0.026407593,0.030182838,,0.017064846,0.118677593,-0.034482759,0.121858615,-0.012005336,0.222684703,,0.244683451,0.054592721,0.042,0.242881795,0.038069341,0.009429514,0.141614569,0.030604982,0.083077895,0.10915493,0.115766739,0.08553148,-0.047120419,0.0304679,0.11829436,0.085658083,0.053364269,0.274983671,0.097282019,0.108883475,0.020389249,0.33329899,0.007132244
2020-08-31,-0.114388489,0.028096727,,-0.073139975,-0.014475321,-0.07496693,-0.02255048,-0.036082474,0.068669528,-0.070469799,-0.053623188,-0.06622807,-0.062626263,-0.011866235,-0.108957219,-0.150837989,-0.066989365,-0.075338346,-0.311594203,-0.084713376,-0.069297981,-0.117740442,-0.07909292,0.241632653,-0.120192308,-0.120714807,,-0.110192837,-0.059784798,-0.035479632,0.00700431,-0.017272186,-0.091265178,-0.120433018,0.093982808,-0.006294136,-0.123754153,-0.090047098,-0.114374378,-0.121796449,0.127776568,0.04178273,0.243949661,0.229268293,-0.053665689,0.056892779,0.282672234,-0.091351075,0.15499938,0.235253296,-0.061128527,-0.015137181,-0.105058366,0.048894558,-0.201342282,-0.105492958,,-0.120614035,-0.016740088,-0.013963964,,-0.053691275,0.058095479,0.115714286,-0.131345689,0.01710171,-0.078968616,,-0.052827965,-0.215283484,-0.081893794,0.09788268,-0.023571231,0.139289768,0.195238095,0.001931176,-0.081412751,-0.090793651,0.120247949,-0.049245785,-0.071428571,0.026399155,0.248462485,-0.016965903,-0.038688518,0.050204918,-0.077245053,-0.091358025,-0.070844687,-0.040534521,-0.204780171
2020-09-30,0.018683997,-0.022666667,,-0.051644645,-0.089876893,-0.063287312,-0.079984837,-0.103132162,-0.161569354,-0.093115897,-0.061766207,-0.023485204,-0.096982759,-0.017467249,-0.049512378,-0.138157895,-0.033588299,-0.026020491,-0.09122807,-0.041057759,0.003722888,0.048081841,-0.179219219,0.084812623,-0.118579235,-0.036084612,-0.171428571,-0.083591331,-0.053483462,-0.14986376,-0.068485821,-0.028282828,-0.087068966,-0.143076923,0.089575694,-0.037822311,-0.057819905,0.050490884,-0.064824655,-0.043977055,-0.015302921,-0.078877005,-0.073929961,-0.067460317,-0.120235513,-0.086061365,-0.029785156,-0.03801746,-0.043123793,-0.143258427,-0.104618809,-0.066762728,0.191304348,0.036278881,0.016806723,0.098094788,,-0.067331671,-0.114247312,-0.104157149,,-0.04964539,-0.167104321,0.088028169,0.087679942,-0.156637168,0.134203169,,0.176974843,-0.019895288,-0.013240418,-0.196648751,-0.009943182,-0.098882913,-0.092629482,-0.008862106,-0.070544664,-0.087988827,-0.060984061,0.01679888,0.027810651,-0.008744856,-0.01182266,0.03185232,-0.055763824,-0.153658537,-0.083094176,-0.084127774,-0.157380254,0.017258859,0.017068646
2020-10-31,-0.028708134,0.002728513,,-0.071986911,0.006076975,0.039651527,-0.024309848,-0.15076661,-0.063559322,-0.004804393,-0.087051143,0.098605099,-0.026252983,-0.036666667,-0.106288077,-0.142493639,0.014851485,-0.003172483,-0.171814672,0.011248186,-0.004031608,-0.099560761,-0.048880433,0.244848485,-0.238685679,-0.019363167,-0.120689655,-0.15625,-0.011400248,-0.033653846,-0.023549684,0.093555094,-0.059017941,-0.074506284,0.048557692,0.035886707,-0.055499579,-0.18024032,0.032954545,0.044251723,-0.006765369,-0.059022738,-0.002521008,0.008510638,-0.181754139,-0.055485498,0.160040262,-0.050058548,0.104484305,-0.09704918,0.067589342,-0.02367473,-0.030656934,-0.098376687,-0.173553719,-0.111700602,,-0.064171123,-0.038947901,-0.034166242,0.241258741,-0.085820896,-0.102321582,-0.058536912,0.027327071,-0.037775446,0.04272802,,0.070760543,-0.091880342,-0.060734463,0.011019284,0.035150646,-0.033516988,0.098792536,0.006795422,-0.053558844,-0.077791618,-0.003690037,0.078935291,0.086355786,-0.149974053,0.086739781,0.02436136,-0.048138958,-0.010951009,-0.032645659,-0.020267158,-0.153132251,0.154185693,-0.163808829
2020-11-30,0.147783251,0.114245576,,0.099510284,0.142807656,0.206455093,0.206081081,0.031592903,0.433798938,0.092689655,0.312872467,-0.010507881,0.199754902,0.212226067,0.168458781,0.053412463,0.232195122,-0.063651591,0.093240093,0.124865447,0.105408031,0.0899729,0.193106632,0.14459591,0.484527687,0.187362878,0.137254902,0.204204204,0.061418902,0.343283582,0.091176471,0.107224335,0.093326643,0.208535403,0.041775585,0.120086997,0.150896057,0.07980456,0.163916392,0.217131899,0.036525173,0.190231362,0.056444819,0.052742616,-0.012914335,0.19305741,-0.043528561,0.000308166,-0.050751117,0.066085694,0.123442136,0.195044808,0.164909639,0.093492408,0.51,0.117836965,,0.12,0.344736842,0.31467793,0.070422535,0.134693878,0.601851852,0.042098649,0.07439734,0.033805889,0.158392435,,0.10777851,0.048,0.095222194,0.153756325,0.378378378,0.262044052,0.128871129,0.225873711,0.070755036,0.138396624,-0.009259259,0.181481143,0.13672496,0.241147741,0.252293578,0.288191577,0.070385819,0.034382284,0.054411703,,0.323287671,-0.029803508,0.440663176
2020-12-31,0.149055639,0.0252971,,0.104222341,0.149388258,0.134531397,0.037464986,0.014955135,0.350850714,0.186569048,0.000453926,0.042920354,0.011235955,-0.058039962,0.03297546,0.143465293,0.152810768,0.073345259,-0.012793177,0.038277512,0.144221837,-0.035803083,-0.023342791,0.354742663,0.128908393,0.145816647,0.25,0.111388196,0.058868617,0.092592593,0.059299191,0.066277473,0.062872877,-0.035313002,0.089451963,0.058252427,0.075671995,0.233785822,0.120701481,0.110325887,0.000190476,0.022030238,0.055422648,0.044088176,0.146532926,-0.023867486,0.219093482,0.063497095,0.068262861,-0.011580381,0.001056524,0.057773245,0.001939237,0.041460028,-0.066225166,0.083754513,,0.010204082,0.129158513,0.13815261,0.007029382,0.039882276,0.399043253,0.05456738,-0.03024887,0.014767932,0.104098622,,0.027084236,-0.002245173,0.084722222,0.196693657,0.205314141,0.045471914,0.036106195,0.011376153,0.055594406,0.104411931,0.077479306,0.052985263,-0.022377622,0.167732415,0.07032967,0.121153846,0.098844406,-0.089577465,0.059060781,,-0.027950311,0.03001705,-0.003028468
2021-01-31,-0.029903282,0.018753781,,-0.026416986,-0.127319588,-0.087775451,-0.066486669,-0.084565731,0.343321483,0.018415313,-0.037205082,0.027577429,-0.035353535,-0.090909091,-0.100222717,0.0275,-0.040244344,-0.0785,-0.023758099,-0.044239631,-0.128903122,-0.018050542,-0.00884722,-0.045525903,-0.074829932,-0.130597015,1.379960839,-0.092744951,-0.022303141,-0.006779661,-0.004518598,0.00805153,-0.027633851,-0.056572379,-0.049079755,0.127147474,-0.057226277,-0.119804401,-0.093749133,-0.102051253,0.047419539,0.021978022,0.061579146,0.047984645,-0.073800915,-0.04754249,0.270287064,-0.115091016,0.012825651,-0.084079945,0.013086914,-0.099022524,-0.097419355,-0.06552381,-0.056737589,0.005729514,,0.419191919,-0.052686308,-0.058221595,0.12565445,0.013937282,0.004274113,-0.107580343,-0.004792332,0.055093555,-0.134950249,-0.03615198,-0.073531545,-0.080333033,-0.050829414,0.001573265,-0.084434968,0.088815789,0.059959002,-0.03720372,-0.037098377,-0.092150171,-0.011142061,-0.052499101,0.007629948,-0.082561078,-0.09650924,0.005717553,0.051061907,-0.090965347,-0.027956989,,-0.068553777,0.106284658,0.019137303
