date,acu,acu_2
2018-08-31,0.04186292918597201,-0.04315376230000001
2018-09-30,0.11662876826162316,-0.00776467598126962
2018-10-31,0.16846074654063448,0.04651116906000752
2018-11-30,0.21301588069714295,0.06487233488157473
2018-12-31,0.18711345986163574,0.05688812603768478
2019-01-31,0.3124398414453975,0.1467190877738902
2019-02-28,0.3158492933472201,0.15163410077342188
2019-03-31,0.33305533283155775,0.14107306777633433
2019-04-30,0.384506244162629,0.15357921068431568
2019-05-31,0.4096159805381794,0.14640032033331551
2019-06-30,0.38757002753449177,0.17461685197572982
2019-07-31,0.3822667589771822,0.15003673539379592
2019-08-31,0.4454327493825825,0.15501443387542468
2019-09-30,0.4871840017804956,0.18869961647823708
2019-10-31,0.5124095350046596,0.2469396776960575
2019-11-30,0.504167130977552,0.2584015478369095
2019-12-31,0.6160833733321105,0.3507924479430573
2020-01-31,0.5442087872829564,0.34520774745055305
2020-02-29,0.41858494631860643,0.25297830355786033
2020-03-31,0.11460251181672465,-0.16826873332650982
2020-04-30,0.21620415271255777,-0.07584087579811993
2020-05-31,0.36637684588164765,0.029560414404915747
2020-06-30,0.49841148625139353,0.1222896545469958
2020-07-31,0.5913669417270164,0.23333339458790056
2020-08-31,0.5510228726719486,0.2481013317380294
2020-09-30,0.5042444944826812,0.16600944737977397
2020-10-31,0.5307014835829995,0.17728907180488207
2020-11-30,0.7671756585141065,0.3229759038642914
2020-12-31,0.9200590467920384,0.42359894738031123
2021-01-31,0.9078484052349587,0.3743503481221331
2021-02-28,0.8847939922709468,0.31904916734817657
2021-03-31,1.0270506322828497,0.4245405645416491
2021-04-30,1.0995531417814686,0.44909371422424704
2021-05-31,1.2284142538381055,0.551064652741295
2021-06-30,1.221239930997382,0.5517036332133001
2021-07-31,1.1223236528470393,0.4934406379126197
2021-08-31,1.031801415051072,0.4037964087198964
2021-09-30,0.999988471495517,0.37778345314171236
2021-10-31,0.9590253874845291,0.3255280815536712
2021-11-30,0.9962883758888965,0.31420779125546083
2021-12-31,0.9768939189385779,0.3166070906114804
2022-01-31,1.11324748236733,0.43787399021755813
2022-02-28,1.114737270423586,0.42319767079011505
2022-03-31,1.224214068336655,0.4652068792890694
2022-04-30,1.0462283431277295,0.34717484988871017
2022-05-31,1.0815412318964719,0.4097651677151781
2022-06-30,0.8740147639303512,0.25024670498888324
2022-07-31,0.9432777393515895,0.3287145986696327
